Species Name
Cataulacus granulatus
Cataulacus horridus
Centromyrmex feae
Cerapachys sulcinodis
Cladomyrma sirindhornae
Colobopsis cylindrica
Colobopsis explodens
Colobopsis leonardi
Colobopsis markli
Colobopsis saundersi
Colobopsis siggii
Colobopsis vitrea
Crematogaster aberrans
Crematogaster aurita
Crematogaster bandarensis
Crematogaster binghamii
Crematogaster coriaria
Crematogaster difformis
Crematogaster dohrni artifex
Crematogaster dohrni kerri
Crematogaster fraxatrix
Crematogaster fumikoae
Crematogaster hashimi
Crematogaster inflata
Crematogaster longipilosa
Crematogaster modiglianii
Crematogaster pia
Crematogaster quadriruga
Crematogaster reticulata
Crematogaster rogenhoferi
Crematogaster rothneyi
Crematogaster sewardi
Crematogaster treubi
Crematogaster tumidula
Dacetinops concinnus
Diacamma assamense
Diacamma intricatum
Diacamma jaitrongi
Diacamma rugosum
Diacamma violaceum
Dinomyrmex gigas
Dolichoderus bakhtiari
Dolichoderus cuspidatus
Dolichoderus erectilobus
Dolichoderus feae
Dolichoderus semirugosus
Dolichoderus siggii
Dolichoderus sulcaticeps
Dolichoderus taprobanae siamensis
Dolichoderus thoracicus
Dolichoderus tuberifer
Dorylus laevigatus
Dorylus orientalis
Dorylus vishnui
Echinopla charernsomi
Echinopla jeenthongi
Echinopla madli
Echinopla melanarctos
Echinopla pallipes
Echinopla tunkuabduljalilii
Ectomomyrmex astutus
Ectomomyrmex leeuwenhoeki
Emeryopone buttelreepeni
Erromyrma latinodis
Euprenolepis procera
Eusphinctus furcatus
Harpegnathos venator
Holcoponera cribrata
Iridomyrmex anceps
Kartidris matertera
Lasiomyrma wiwatwitayai
Lepisiota bicolor
Lepisiota chutimae
Lepisiota rothneyi
Lepisiota siamensis
Lepisiota thepthepae
Leptanilla thai
Leptogenys birmana
Leptogenys borneensis
Leptogenys cyanicatena
Leptogenys diminuta
Leptogenys hysterica
Leptogenys iridescens
Leptogenys kitteli
Leptogenys kraepelini
Leptogenys mutabilis
Leptogenys myops
Leptogenys punctiventris
Liomyrmex gestroi
Lioponera longitarsus
Lophomyrmex bedoti
Lophomyrmex birmanus
Lophomyrmex lucidus
Lophomyrmex striatulus
Mayriella transfuga
Meranoplus bicolor
Meranoplus castaneus
Meranoplus laeviventris
Meranoplus malaysianus
Meranoplus mucronatus
Meranoplus siamensis
Meranoplus tanomtongi
Mesoponera rubra
Monomorium chinense
Monomorium floricola
Monomorium pharaonis
Myopias bidens
Myopias crawleyi
Myopias maligna punctigera
Myopias mandibularis
Myopias minima
Myopias sakaeratensis
Myopias sonthichaiae
Myopopone castanea
Myrmecina asiatica
Myrmecina dechai
Myrmecina inflata
Myrmecina inthanonensis
Myrmecina maryatiae
Myrmecina raviwonghei
Myrmica ritae
Myrmicaria birmana
Myrmicaria brunnea
Myrmoteras binghamii
Myrmoteras concolor
Myrmoteras cuneonodus
Myrmoteras jaitrongi
Myrmoteras opalinum
Myrmoteras tomimasai
Odontomachus latidens
Odontomachus monticola
Odontomachus rixosus
Odontomachus simillimus
Odontoponera denticulata
Odontoponera transversa
Oecophylla smaragdina
Ooceraea siamensis
Parasyscia dohertyi
Paratopula macta
Paraparatrechina opaca
Paratrechina longicornis
Pheidole aglae
Pheidole annexa
Pheidole aristotelis
Pheidole bluntschlii
Pheidole butteli
Pheidole capellinii
Pheidole cariniceps
Pheidole clypeocornis
Pheidole comata
Pheidole dugasi
Pheidole elisae
Pheidole fervens
Pheidole fortis
Pheidole gatesi
Pheidole hongkongensis
Pheidole hortensis
Pheidole inornata
Pheidole inscrobiculata
Pheidole jacobsoni
Pheidole magrettii
Pheidole megacephala
Pheidole nodus
Pheidole nodifera
Pheidole parva
Pheidole pieli
Pheidole plagiaria
Pheidole planifrons
Pheidole protea
Pheidole quadricuspis
Pheidole rabo
Pheidole rinae
Pheidole sarawakana
Pheidole sauberi
Pheidole singaporensis
Pheidole smythiesii
Pheidole spathifera
Pheidole taivanensis
Pheidole tandjongensis
Pheidole tjibodana
Pheidole vulgaris
Pheidole yeensis
Pheidole zoceana
Philidris cordata waldoi
Plagiolepis silpaarchai
Platythyrea clypeata
Platythyrea homasawini
Platythyrea janyai
Platythyrea parallela
Platythyrea quadridenta
Platythyrea tricuspidata
Polyrhachis abdominalis
Polyrhachis alatisquamis
Polyrhachis arachne
Polyrhachis arcuata
Polyrhachis armata
Polyrhachis bicolor
Polyrhachis bihamata
Polyrhachis calypso
Polyrhachis dives
Polyrhachis dolomedes
Polyrhachis flavicornis
Polyrhachis furcata
Polyrhachis halidayi
Polyrhachis hauxwelli
Polyrhachis hemiopticoides
Polyrhachis hippomanes
Polyrhachis illaudata
Polyrhachis inermis
Polyrhachis laevissima
Polyrhachis lao
Polyrhachis latona
Polyrhachis longipilosa
Polyrhachis muelleri
Polyrhachis noonananti
Polyrhachis olybria
Polyrhachis phalerata
Polyrhachis proxima
Polyrhachis pubescens
Polyrhachis quadrispinosa
Polyrhachis rastellata
Polyrhachis rixosa
Polyrhachis saevissima kerri
Polyrhachis sculpturata siamensis
Polyrhachis striata
Polyrhachis sukarmani
Polyrhachis textor
Polyrhachis thailandica
Polyrhachis thrinax
Polyrhachis tibialis
Polyrhachis varicolor
Polyrhachis villipes
Polyrhachis watanasiti
Prenolepis darlena
Prenolepis fustinoda
Prenolepis jacobsoni
Prenolepis melanogaster
Prenolepis naoroji
Prenolepis shanialena
Pristomyrmex brevispinosus
Pristomyrmex leleji
Pristomyrmex punctatus
Pristomyrmex rigidus
Pristomyrmex sulcatus
Pristomyrmex trachylissus
Proatta butteli
Probolomyrmex dammermani
Probolomyrmex longinodus
Probolomyrmex vieti
Proceratium deelemani
Proceratium siamense
Pseudoneoponera rufipes
Recurvidris browni
Recurvidris chanapaithooni
Recurvidris lekakuli
Recurvidris recurvispinosa
Rhopalomastix impithuksai
Rhopalomastix javana
Rhopalomastix johorensis
Rhopalomastix parva
Rhopalomastix robusta
Simopone oculata
Solenopsis geminata
Stictoponera bicolor
Stictoponera binghamii
Stictoponera chapmani
Stictoponera coxalis
Stictoponera menadensis
Stictoponera ortostoma
Stigmatomma reclinatum
Strumigenys adiastola
Strumigenys alecto
Strumigenys amnesia
Strumigenys arges
Strumigenys atropos
Strumigenys benulia
Strumigenys brontes
Strumigenys caniophanes
Strumigenys confusatrix
Strumigenys decumbens
Strumigenys delicata
Strumigenys dipsas
Strumigenys dohertyi
Strumigenys doriae
Strumigenys doydeei
Strumigenys elegantula
Strumigenys emmae
Strumigenys exilirhina
Strumigenys feae
Strumigenys formosa
Strumigenys gnathosphax
Strumigenys inhonesta
Strumigenys jaitrongi
Strumigenys juliae
Strumigenys kichijo
Strumigenys kraepelini
Strumigenys mitis
Strumigenys nanzanensis
Strumigenys natynion
Strumigenys nepalensis
Strumigenys nothomopyx
Strumigenys nytaxis
Strumigenys paraposta
Strumigenys rogeri
Strumigenys rotogenys
Strumigenys sauteri
Strumigenys scolopax
Strumigenys signeae
Strumigenys strygax
Strumigenys sydorata
Strumigenys taphra
Strumigenys tritomea
Syllophopsis australica
Syllophopsis sechellensis
Syscia chaladthanyakiji
Syscia reticularis
Tapinoma melanocephalum
Technomyrmex albipes
Technomyrmex brunneus
Technomyrmex butteli
Technomyrmex difficilis
Technomyrmex dubius
Technomyrmex elatior
Technomyrmex grandis
Technomyrmex horni
Technomyrmex kraepelini
Technomyrmex lisae
Technomyrmex modiglianii
Technomyrmex obscurior
Technomyrmex pratensis
Technomyrmex reductus
Technomyrmex schimmeri
Technomyrmex strenuus
Technomyrmex sundaicus
Technomyrmex tatius
Technomyrmex vitiensis
Technomyrmex wheeleri
Technomyrmex yamanei
Tetramorium aptum
Tetramorium bicarinatum
Tetramorium ciliatum
Tetramorium cuneinode
Tetramorium eleates
Tetramorium flavipes
Tetramorium hasinae
Tetramorium insolens
Tetramorium lanuginosum
Tetramorium nacta
Tetramorium nipponense
Tetramorium pacificum
Tetramorium palaense
Tetramorium parvispinum
Tetramorium parvum
Tetramorium polymorphum
Tetramorium simillimum
Tetramorium smithi
Tetramorium walshi
Tetramorium wroughtonii
Tetraponera aitkenii
Tetraponera allaborans
Tetraponera attenuata
Tetraponera binghami
Tetraponera connectens
Tetraponera crassiuscula
Tetraponera difficilis
Tetraponera extenuata
Tetraponera modesta
Tetraponera nigra
Tetraponera nitida
Tetraponera nodosa
Tetraponera notabilis
Tetraponera pilosa
Tetraponera rufonigra
Trichomyrmex destructor
Yunodorylus sexspinus
Vollenhovia emeryi
Vombisidris satunensis
Zasphinctus siamensis
